cell_id,lon,lat,canopy_pct,tree_count,lst_c,dw_built,road_pct,sidewalk_pct,pop_density,poverty,income_proxy,value_per_acre,near_park_m,near_bike_m
62,-121.722311,38.534954,9.26,0,31.267370223999023,0.5082565555348992,5.851800554016621,5.609418282548476,3617.9839621657165,40.43246953835593,50879.77884172805,2193040.8395169284,261.9498306501048,20.47580646478684
165,-121.722345,38.53546,13.51,11,30.447044372558594,0.7242753813043237,3.0322791000978158,3.7821975872187807,3617.9839621657165,40.43246953835593,65921.4915562267,3493169.538348395,223.45019299171435,5.621635310361216
163,-121.72414,38.535889,0.0,0,32.624324798583984,0.4622032924089581,0.0,5.048859934853421,3617.9839621657165,40.43246953835593,50391.33205937997,2586862.8932230175,336.8341976039499,15.108480708274984
164,-121.723349,38.535621,17.71,10,31.906539916992188,0.5970259765163064,0.0,6.270627062706271,3617.9839621657165,40.43246953835593,70054.69660215676,3634641.984127315,285.72763130266037,9.235840033472366
265,-121.725746,38.536497,10.11,6,31.57499122619629,0.7384991648141295,0.0,0.0,3617.9839621657165,40.43246953835593,,,460.50699070551184,19.338716389852138
264,-121.726934,38.536529,11.31,5,31.496376037597656,0.6296951381955296,,,9369.03818607894,40.43246953835593,,,548.8584113620892,7.380463154523336
258,-121.733282,38.536884,0.0,0,32.03984069824219,0.40739516261965036,,,1182.578103435234,40.43246953835593,,,796.6558802258781,79.611449453663
259,-121.732537,38.536648,12.07,5,33.58820343017578,0.644113032380119,0.0,0.0,1182.578103435234,40.43246953835593,,,854.0696827329035,14.685277604557834
261,-121.730667,38.536445,1.05,0,35.17074966430664,0.7209807189647108,5.778491171749598,1.187800963081862,1182.578103435234,40.43246953835593,,,819.7486602081158,35.50855116515577
263,-121.727854,38.536501,4.77,2,31.698040008544922,0.6545643517747521,25.428194993412383,0.0,9369.03818607894,40.43246953835593,,,621.3312628345351,8.54738214092328
260,-121.731494,38.536505,6.63,10,34.64437484741211,0.7309916354715824,0.0,0.0,1182.578103435234,40.43246953835593,,43331.230210459966,852.8158100519604,32.364390704910356
363,-121.731541,38.53735,1.77,1,34.623863220214844,0.7601340878754854,10.55234954657873,0.0,1182.578103435234,40.43246953835593,,43331.230210459966,779.978978949719,72.97294257075949
366,-121.727919,38.537338,0.0,0,33.184879302978516,0.7218620183411986,16.200762388818298,0.0,9369.03818607894,40.43246953835593,,,591.6365214800162,98.23923745928236
364,-121.73045,38.5369,0.0,0,35.36557388305664,0.7634369293227792,9.40144155437167,0.0,,,,,766.5991649099725,87.29257280037397
367,-121.726902,38.537312,0.0,0,32.692684173583984,0.7050556226167828,45.535714285714285,0.0,9369.03818607894,40.43246953835593,,810906.9057429731,509.1014809683894,51.778468693292105
358,-121.73752,38.537788,28.34,1,32.12871170043945,0.3182804157258943,,,,,,,579.3937681571166,15.092309351381466
361,-121.733692,38.537489,16.48,6,31.53055763244629,0.6073987521231174,30.433263452131374,0.1397624039133473,1182.578103435234,40.43246953835593,,,720.6971623536282,100.94632078982579
360,-121.73452,38.53766,24.46,2,32.648250579833984,0.3219751730794087,12.663316582914572,0.0,1182.578103435234,40.43246953835593,,,668.2291693640428,85.7061258939026
362,-121.732637,38.537374,11.18,6,33.294254302978516,0.749634244479239,17.956656346749224,0.0,1182.578103435234,40.43246953835593,,,783.566549760016,22.46560059417237
462,-121.736177,38.538673,0.0,0,32.94903564453125,0.38207965448964387,,,1182.578103435234,40.43246953835593,,,507.0520311385013,30.41111236421597
465,-121.732621,38.538275,13.52,7,32.89093017578125,0.7405069126980379,19.624413145539908,0.0,1182.578103435234,40.43246953835593,,,706.7769880267109,11.750410638337302
461,-121.737285,38.538376,6.5,3,31.359655380249023,0.5300685346592218,,,1182.578103435234,40.43246953835593,,,516.6840214549159,16.727536403646326
267,-121.723476,38.536374,18.91,19,32.84991455078125,0.7444643685594201,10.6203007518797,0.0,3617.9839621657165,40.43246953835593,48650.10542072053,3352882.9633058007,266.6987449047769,19.27072369375341
266,-121.724608,38.536406,10.06,8,32.31328201293945,0.7191938543692231,1.8796992481203008,0.5012531328320802,3617.9839621657165,40.43246953835593,59686.97285678099,3277968.826965318,363.2100227870071,12.471983319561655
268,-121.722329,38.536361,10.24,10,32.49443817138672,0.7583258906379342,5.496231155778895,0.4396984924623116,3664.356451599418,40.43246953835593,50246.917280124115,4271606.762192814,170.65991325835842,79.25171069639069
369,-121.724607,38.537287,1.36,1,32.19365310668945,0.7325579561293125,0.0474383301707779,0.0,3617.9839621657165,40.43246953835593,45644.21192461536,3577954.7405653414,330.4982277830656,36.60471575370094
370,-121.72346,38.537275,9.34,6,33.266910552978516,0.7530466283205897,12.535255405828892,0.0,3617.9839621657165,40.43246953835593,31195.0577166914,2892137.4913689625,248.9155992264953,39.91203327946214
368,-121.725755,38.5373,4.01,1,32.843074798583984,0.7195821146015078,,,3617.9839621657165,40.43246953835593,,,418.13911913316934,102.40184285937904
472,-121.724591,38.538188,11.84,3,31.978317260742188,0.7244571952614933,16.666666666666664,0.0,3617.9839621657165,40.43246953835593,,,286.86533465434474,40.194462685511375
471,-121.725739,38.538201,13.09,7,33.49250030517578,0.756095209158957,16.80240034290613,0.0,3617.9839621657165,40.43246953835593,,,383.01741774781374,100.7942065019842
473,-121.723444,38.538176,13.12,8,32.35088348388672,0.7400997914373875,8.903654485049833,0.0,3617.9839621657165,40.43246953835593,27130.940754120504,2996577.809107236,194.61977204098372,58.86505580143048
474,-121.722297,38.538163,7.43,3,32.12529373168945,0.74889459554106,14.102162331557505,0.0,3617.9839621657165,40.43246953835593,32414.209781200694,2698668.8336883993,108.16045833067996,20.768816464624063
269,-121.721182,38.536349,20.22,19,31.660442352294922,0.7604933233233169,20.106482931412465,0.0,3617.9839621657165,40.43246953835593,51578.936311845384,4265925.969850328,82.57259114147777,70.12914659264042
271,-121.718888,38.536324,21.22,19,29.124271392822266,0.7318790995050222,10.383889238514788,0.0,3617.9839621657165,40.43246953835593,48923.09039560003,1349059.2157861108,113.87696665835067,19.526197808633125
373,-121.720019,38.537237,14.81,7,29.196048736572266,0.7169573922874406,11.2468671679198,0.0,3617.9839621657165,40.43246953835593,60283.98969639653,4150354.650092043,0.0,4.78303683393817
374,-121.718872,38.537224,9.39,6,29.062746047973633,0.7630371239501983,8.114035087719298,1.7857142857142856,3617.9839621657165,40.43246953835593,85165.80308234533,3323691.4373729504,31.880325996209066,39.936082411151425
375,-121.717725,38.537212,6.13,2,31.011018753051758,0.747535127797164,9.233668341708542,4.271356783919598,3617.9839621657165,40.43246953835593,79973.86166853165,3180954.217757963,110.31739514965408,33.89257848607368
372,-121.721166,38.53725,17.01,11,31.889448165893555,0.7424645815044641,0.2193669696020056,0.0,3617.9839621657165,40.43246953835593,35805.396618118495,4057279.6955792406,65.28666329213421,73.42041084564812
371,-121.722313,38.537262,12.26,6,32.96954345703125,0.7543183306697756,13.788780946411784,0.0,3617.9839621657165,40.43246953835593,35032.64631524233,3046845.7158904853,158.78470649547472,81.35716562216892
478,-121.717709,38.538113,8.72,4,31.58182716369629,0.7428853297606111,8.398621121905359,0.0,3617.9839621657165,40.43246953835593,65131.8367354071,2241598.041221722,116.96527848848841,106.3009907860107
