,canopy_pct,tree_count,lst_c,dw_built,road_pct,sidewalk_pct,pop_density,poverty,income_proxy,value_per_acre,near_park_m,near_bike_m
canopy_pct,1.0,0.9014707113795042,-0.2927529214180316,0.2795936786295074,-0.003571823998046515,0.011922212035615283,0.2627869320457968,0.20740857468500645,-0.17063508702807073,-0.34235619828967945,-0.16362965674784374,-0.052575735427512524
tree_count,0.9014707113795042,1.0,-0.21542076462325802,0.35300377846240644,-0.032342012654558515,0.0028017569917896173,0.29406681896927495,0.1975457940561199,-0.18209404328532386,-0.27168580413732507,-0.15232004546887085,-0.024937813226062353
lst_c,-0.2927529214180316,-0.21542076462325802,1.0,0.13691930136430092,0.024770383727715346,0.07152334652367175,0.04302507098852816,-0.08582568216984078,-0.18093067240128452,0.02920356261791446,0.2288127281513449,0.05423678883481669
dw_built,0.2795936786295074,0.35300377846240644,0.13691930136430092,1.0,-0.0009630323466780892,-0.010840113298578175,0.3946122503510952,0.03711324807562674,-0.08890583173943443,-0.12468152733472808,-0.10340390313636588,0.05620138015579036
road_pct,-0.003571823998046515,-0.032342012654558515,0.024770383727715346,-0.0009630323466780892,1.0,0.07958137842127698,-0.020006906195997685,0.0412563135703987,0.06833113722454195,-0.07717766197938736,0.02317579382363734,-0.022598769542303394
sidewalk_pct,0.011922212035615283,0.0028017569917896173,0.07152334652367175,-0.010840113298578175,0.07958137842127698,1.0,-0.06769675779707304,-0.15492108699187648,0.10790273051033132,0.01909170332927001,-0.0159464681860175,0.04157717820327708
pop_density,0.2627869320457968,0.29406681896927495,0.04302507098852816,0.3946122503510952,-0.020006906195997685,-0.06769675779707304,1.0,0.23108898385191015,-0.3286253774826082,0.046741781392086124,-0.10486367583854635,-0.0658932593032933
poverty,0.20740857468500645,0.1975457940561199,-0.08582568216984078,0.03711324807562674,0.0412563135703987,-0.15492108699187648,0.23108898385191015,1.0,-0.2817264693550984,-0.11956466048808836,-0.0832183500062804,-0.06668084314292591
income_proxy,-0.17063508702807073,-0.18209404328532386,-0.18093067240128452,-0.08890583173943443,0.06833113722454195,0.10790273051033132,-0.3286253774826082,-0.2817264693550984,1.0,0.332834986642619,-0.04236794757857617,0.020078588810515455
value_per_acre,-0.34235619828967945,-0.27168580413732507,0.02920356261791446,-0.12468152733472808,-0.07717766197938736,0.01909170332927001,0.046741781392086124,-0.11956466048808836,0.332834986642619,1.0,-0.1202985704623628,-0.18949872576913185
near_park_m,-0.16362965674784374,-0.15232004546887085,0.2288127281513449,-0.10340390313636588,0.02317579382363734,-0.0159464681860175,-0.10486367583854635,-0.0832183500062804,-0.04236794757857617,-0.1202985704623628,1.0,0.19787966972255505
near_bike_m,-0.052575735427512524,-0.024937813226062353,0.05423678883481669,0.05620138015579036,-0.022598769542303394,0.04157717820327708,-0.0658932593032933,-0.06668084314292591,0.020078588810515455,-0.18949872576913185,0.19787966972255505,1.0
