variable,VIF,R2_others
lst_c,1.0771852744721906,0.07165459489780945
dw_built,1.1507699852959967,0.13101661254852437
pop_density,1.125910047803842,0.11182958003566756
poverty,1.0783935414181165,0.07269474306664225
