model_set,n,ols_r2,ols_aic,lag_aic,err_aic,moran_resid_I,moran_resid_p,lag_rho,err_lambda
core,2438,0.2202955302997368,16311.84761176677,-413.64683668355013,-203.19411108942637,0.30824996636548935,0.001,0.5475379317365953,
ses,1601,0.171744608110726,10657.067504210925,-395.9949583921974,-155.79648156495134,0.33334711454545685,0.001,0.6169256641139498,
