q,count,mean,std,median,by
Q1,497,10.628712273641852,7.313034868204778,10.0,poverty
Q2,528,5.11905303030303,6.886861556590872,2.2649999999999997,poverty
Q3,492,8.557235772357723,7.259319768709719,7.15,poverty
Q4,568,12.983714788732394,7.947218947397645,12.535,poverty
Q5,379,11.571820580474935,8.071588529261938,10.86,poverty
