variable,label,I,EI,z,p_sim,n
canopy_pct,Canopy (%),0.3968164402463343,-0.0003667033370003667,41.301037880919914,0.001,2728
lst_c,LST (°C),0.6798852296255291,-0.0003762227238525207,70.77355901359297,0.001,2659
dw_built,DW built,0.6321328273340866,-0.0003667033370003667,68.66741637130819,0.001,2728
pop_density,Pop. density,0.4574902574138972,-0.00037383177570093456,48.848712052904574,0.001,2676
poverty,Poverty,0.9344417605406103,-0.0004060089321965083,94.61455977697773,0.001,2464
income_proxy,Income,0.6327778520943658,-0.000612369871402327,54.54389187541487,0.001,1634
value_per_acre,Value/acre,0.390592447618636,-0.0005757052389176742,34.999152120863535,0.001,1738
near_park_m,Dist. park,0.9179548426602117,-0.0003667033370003667,98.12675848168301,0.001,2728
near_bike_m,Dist. bike,0.5553461835477193,-0.0003667033370003667,59.92077286142656,0.001,2728
