variable,label,direction,rho,abs_rho,weight
canopy_pct,Canopy (%),-1,-0.34235619828967945,0.34235619828967945,0.1619398376675256
value_per_acre,Value/acre,-1,-0.34235619828967945,0.34235619828967945,0.1619398376675256
lst_c,LST (°C),1,-0.2927529214180316,0.2927529214180316,0.1384767117054386
dw_built,DW built,1,0.2795936786295074,0.2795936786295074,0.13225218400111458
pop_density,Pop. density,1,0.2627869320457968,0.2627869320457968,0.12430232993951984
poverty,Poverty,1,0.20740857468500645,0.20740857468500645,0.09810750055976225
income_proxy,Income,-1,-0.17063508702807073,0.17063508702807073,0.08071306560756046
near_park_m,Dist. park,1,-0.16362965674784374,0.16362965674784374,0.077399387490913
near_bike_m,Dist. bike,1,-0.052575735427512524,0.052575735427512524,0.02486914536064007
