,canopy_pct,tree_count,lst_c,dw_built,road_pct,sidewalk_pct,pop_density,poverty,income_proxy,value_per_acre,near_park_m,near_bike_m
canopy_pct,0.0,0.0,1.3986807609781439e-52,3.931436339554529e-49,0.8999671081025515,0.6309882935807426,1.2079401450372774e-42,9.269297163637726e-25,1.0116478631507588e-11,5.313607417185242e-48,2.7563385112943532e-17,0.00903012580530227
tree_count,0.0,0.0,1.2048514589903126e-28,1.5750590436002132e-79,0.186201637495343,0.913823462059208,2.6223832652593226e-53,1.5472753517800402e-22,3.588506297967821e-13,4.415082190808436e-30,4.146565209373949e-15,0.2401869767658218
lst_c,1.3986807609781439e-52,1.2048514589903126e-28,0.0,3.677255090436397e-12,0.3232684641151943,0.0023853007577111437,0.038452683707123736,4.540845267341265e-05,6.468011553612875e-13,0.27614780189667,3.7938981400818047e-32,0.007904840371882525
dw_built,3.931436339554529e-49,1.5750590436002132e-79,3.677255090436397e-12,0.0,0.9655401084600037,0.656591396363162,6.653421506839105e-99,0.08820029178926347,0.0006042422701093141,4.194533678614686e-07,1.46210372210014e-07,0.005345330597724072
road_pct,0.8999671081025515,0.186201637495343,0.3232684641151943,0.9655401084600037,0.0,0.0006402114714690032,0.42305870388475225,0.10123323141270008,0.020789696877986576,0.007512353622581082,0.35170986529674236,0.3596605085989506
sidewalk_pct,0.6309882935807426,0.913823462059208,0.0023853007577111437,0.656591396363162,0.0006402114714690032,0.0,0.004098648804005843,5.867225887021529e-11,0.00020271520900983845,0.5256388801392406,0.5217856348777478,0.0853075777397375
pop_density,1.2079401450372774e-42,2.6223832652593226e-53,0.038452683707123736,6.653421506839105e-99,0.42305870388475225,0.004098648804005843,0.0,1.7359233673364155e-30,1.9752656343963207e-41,0.07290821789694188,1.3240322445134483e-07,0.0011554986513378578
poverty,9.269297163637726e-25,1.5472753517800402e-22,4.540845267341265e-05,0.08820029178926347,0.10123323141270008,5.867225887021529e-11,1.7359233673364155e-30,0.0,4.5903639816227345e-30,1.5016876747586973e-06,7.070412582498925e-05,0.0016091116415717591
income_proxy,1.0116478631507588e-11,3.588506297967821e-13,6.468011553612875e-13,0.0006042422701093141,0.020789696877986576,0.00020271520900983845,1.9752656343963207e-41,4.5903639816227345e-30,0.0,1.2008898364447496e-42,0.11243358103065108,0.4668240546934261
value_per_acre,5.313607417185242e-48,4.415082190808436e-30,0.27614780189667,4.194533678614686e-07,0.007512353622581082,0.5256388801392406,0.07290821789694188,1.5016876747586973e-06,1.2008898364447496e-42,0.0,1.0799892239189831e-06,5.1227384143246084e-15
near_park_m,2.7563385112943532e-17,4.146565209373949e-15,3.7938981400818047e-32,1.46210372210014e-07,0.35170986529674236,0.5217856348777478,1.3240322445134483e-07,7.070412582498925e-05,0.11243358103065108,1.0799892239189831e-06,0.0,7.161310515581047e-25
near_bike_m,0.00903012580530227,0.2401869767658218,0.007904840371882525,0.005345330597724072,0.3596605085989506,0.0853075777397375,0.0011554986513378578,0.0016091116415717591,0.4668240546934261,5.1227384143246084e-15,7.161310515581047e-25,0.0
