q,count,mean,std,median,by
Q1,327,11.638256880733945,6.595439330200053,11.01,income_proxy
Q2,327,12.030825688073394,6.804219927761769,11.84,income_proxy
Q3,326,11.855521472392638,8.681484818296159,10.93,income_proxy
Q4,327,9.465107033639145,7.019462770079574,8.49,income_proxy
Q5,327,9.559388379204893,8.877218184333264,7.64,income_proxy
