model,variable,coef,se,t,p
OLS,CONSTANT,78.18128658755268,5.616534587291279,13.919844233569947,1.1800276324399727e-41
OLS,lst_c,-1.9416082519573266,0.12551344587615867,-15.469324727751227,2.1134464150923764e-50
OLS,dw_built,16.308420535230958,1.9452672073985067,8.383640290241125,1.1124032292829768e-16
OLS,pop_density,0.0001396793842167142,0.00011429672818854073,1.2220768383352403,0.22185914114662578
OLS,poverty,0.04907647708463525,0.013438301907086772,3.651985007030871,0.0002686271982723126
OLS,log_income,-1.4846607495942408,0.2760047354848006,-5.379113322046607,8.597543315591892e-08
SpatialLag,CONSTANT,41.52124909413487,6.559897274191411,6.3295578205914635,2.458647497819957e-10
SpatialLag,lst_c,-1.1547668522135979,0.1439370503828375,-8.022721385092993,1.0342776328759221e-15
SpatialLag,dw_built,8.307303251026042,1.9286978148639742,4.307208307596871,1.6532790061094225e-05
SpatialLag,pop_density,7.490352288005292e-05,9.810883189559931e-05,0.7634738018261201,0.44518088061748795
SpatialLag,poverty,0.013379432456492424,0.01229237382472165,1.088433580630663,0.2764037433116725
SpatialLag,log_income,-0.5399090944326872,0.26269346049880277,-2.0552818231847376,0.039851791939543336
SpatialLag,W_canopy (rho),0.6169256641139498,0.07514529891621273,8.209770577954904,2.2161152491549235e-16
SpatialError,CONSTANT,65.87699800015616,6.4908305250813525,10.149240185150344,3.339532572391342e-24
SpatialError,lst_c,-1.8107120904393312,0.1558514518471314,-11.618191996154057,3.3311108117169603e-31
SpatialError,dw_built,9.377682875978664,1.8499449271083084,5.069168675543837,3.995570198944271e-07
SpatialError,pop_density,0.00011881533878869044,0.00011289492831457646,1.0524417753968276,0.2925969106751609
SpatialError,poverty,0.05290787796591356,0.02387440369687563,2.216092122662626,0.026685193633170155
SpatialError,log_income,-0.37914344395629485,0.3112346468220316,-1.2181916371704415,0.2231511568854213
SpatialError,lambda,,,,
