story_class,n,pct
Neither (more typical),1631,59.787390029325515
Low canopy only,430,15.762463343108504
Hot only,415,15.212609970674487
Watch zone (low canopy + hot),225,8.247800586510264
Watch + higher poverty,27,0.9897360703812317
